date,hr_beg,ACTUAL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE
2014-01-15,2,5720.7,3534.9265306122447
2014-01-15,3,6009.68,3612.871428571428
2014-01-15,4,5470.0,3788.7346938775504
2014-01-15,5,4543.27,3938.087755102041
2014-01-15,6,4262.85,3954.453061224489
2014-01-15,7,3757.39,3884.49387755102
2014-01-15,8,3578.48,3667.6081632653063
2014-01-15,9,3533.48,3416.244897959183
2014-01-15,10,3093.62,3175.4857142857136
2014-01-15,11,2522.83,2954.8632653061222
2014-01-15,12,2205.13,2743.5571428571434
2014-01-15,13,1899.39,2723.0714285714284
2014-01-15,14,1383.8,2785.279591836734
2014-01-15,15,790.38,2419.136734693878
2014-01-15,16,884.61,2061.9755102040826
2014-01-15,17,1346.21,2201.8061224489797
2014-01-15,18,1793.22,2482.6571428571424
2014-01-15,19,2908.91,2802.60612244898
2014-01-15,20,3780.53,3148.575510204082
2014-01-15,21,3692.61,3261.516326530612
2014-01-15,22,3424.99,2923.7673469387755
2014-01-15,23,2695.76,2632.5081632653055
2014-01-16,0,3501.91,3063.3551020408167
2014-01-16,1,5471.67,3908.4285714285706
2014-01-16,2,6253.88,4786.257142857143
2014-01-16,3,7073.71,5448.522448979591
2014-01-16,4,7370.54,5949.589795918368
2014-01-16,5,7429.13,6294.799999999999
2014-01-16,6,7517.89,6446.526530612245
2014-01-16,7,7168.21,6474.883673469388
2014-01-16,8,6434.62,6436.814285714287
2014-01-16,9,5559.19,6255.967346938774
2014-01-16,10,4901.64,5930.673469387756
2014-01-16,11,4130.87,5629.263265306123
2014-01-16,12,2940.55,5291.328571428569
2014-01-16,13,2466.79,5038.377551020408
2014-01-16,14,2488.0,4843.081632653061
2014-01-16,15,2413.8,4602.50612244898
2014-01-16,16,3490.98,4787.085714285713
2014-01-16,17,5307.93,4989.126530612244
2014-01-16,18,6581.47,5093.422448979592
2014-01-16,19,7036.86,5146.110204081634
2014-01-16,20,7008.72,5001.099999999999
2014-01-16,21,6052.01,4565.7224489795935
2014-01-16,22,5064.65,3734.832653061225
2014-01-16,23,4030.38,2858.7959183673465
2014-01-17,0,4345.56,2497.8510204081635
2014-01-17,1,4397.53,2286.375510204081
2014-01-17,2,3291.57,2128.4755102040813
2014-01-17,3,2719.65,2046.4857142857143
2014-01-17,4,2388.49,1975.6183673469388
2014-01-17,5,2436.27,2009.218367346939
2014-01-17,6,2417.05,2169.8204081632653
2014-01-17,7,2351.3,2503.6387755102037
2014-01-17,8,2429.4,2783.5632653061225
2014-01-17,9,2387.93,3033.710204081633
2014-01-17,10,2523.64,3126.1877551020416
2014-01-17,11,2164.3,3204.9938775510204
2014-01-17,12,2007.87,3025.2265306122445
2014-01-17,13,2275.97,2652.4571428571426
2014-01-17,14,2159.8,2248.0448979591833
2014-01-17,15,1735.92,1877.0040816326527
2014-01-17,16,1876.26,1605.6285714285714
2014-01-17,17,1694.93,1572.5959183673474
2014-01-17,18,1654.09,1531.542857142857
2014-01-17,19,1641.66,1530.8367346938774
2014-01-17,20,1691.17,1623.0265306122446
2014-01-17,21,1858.11,1768.136734693877
2014-01-17,22,1738.72,1785.0693877551018
2014-01-17,23,1230.2,1736.3653061224488
2014-01-18,0,1461.88,2107.269387755103
2014-01-18,1,2076.75,3017.76530612245
2014-01-18,2,3102.26,4118.748979591837
2014-01-18,3,4639.59,5076.789795918367
2014-01-18,4,6196.65,5885.840816326532
2014-01-18,5,7001.3,6447.424489795918
2014-01-18,6,7101.03,6810.581632653061
2014-01-18,7,7363.78,6950.985714285715
2014-01-18,8,7278.39,7060.9857142857145
2014-01-18,9,7371.79,7067.742857142855
2014-01-18,10,7125.93,7037.0326530612265
2014-01-18,11,6493.77,6868.873469387759
2014-01-18,12,6107.96,6500.893877551024
2014-01-18,13,5649.17,6133.153061224491
2014-01-18,14,4818.84,5469.087755102039
2014-01-18,15,3239.8,3898.1183673469386
2014-01-18,16,2329.72,2920.589795918367
2014-01-18,17,1812.45,2346.736734693878
2014-01-18,18,1296.67,2006.75918367347
2014-01-18,19,964.55,1779.4897959183677
2014-01-18,20,918.48,1738.0897959183667
2014-01-18,21,995.42,1766.0204081632653
2014-01-18,22,1346.56,1739.0306122448983
2014-01-18,23,1341.82,1769.7795918367347
2014-01-19,0,1614.24,1930.2285714285717
2014-01-19,1,1584.1,1876.3122448979602
2014-01-19,2,1698.12,1823.9183673469388
2014-01-19,3,1302.01,1692.5653061224493
2014-01-19,4,1441.25,1560.5816326530612
2014-01-19,5,1300.24,1446.9693877551017
2014-01-19,6,1298.17,1317.1836734693882
2014-01-19,7,1102.07,1133.3877551020403
2014-01-19,8,498.25,996.1714285714284
2014-01-19,9,218.97,936.638775510204
2014-01-19,10,151.36,1011.2938775510206
2014-01-19,11,172.02,1170.959183673469
